City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,porto-vecchio,41.591,9.2795,14.74,62,40,6.17,FR,1675504638
242,wewak,-3.5534,143.6268,27.01,83,76,4.03,PG,1675504639
243,harper,4.375,-7.7169,28.2,77,9,2.0,LR,1675504639
244,lagoa,39.05,-27.9833,15.22,81,82,3.96,PT,1675504640
245,buala,-8.145,159.5921,27.0,80,100,0.5,SB,1675504640
246,raudeberg,61.9875,5.1352,3.86,73,100,11.19,NO,1675504641
247,noumea,-22.2763,166.4572,27.99,84,93,4.66,NC,1675504353
248,brindisi,40.5833,17.6667,14.33,60,75,7.72,IT,1675504642
249,nouadhibou,20.931,-17.0347,17.99,27,100,7.2,MR,1675504643
250,lenggries,47.6833,11.5667,4.52,98,100,1.97,DE,1675504643
251,ous,60.9058,61.5186,-6.36,91,100,1.62,RU,1675504644
252,kasongo-lunda,-6.4667,16.8167,32.4,46,93,0.67,CD,1675504644
253,broome,42.2506,-75.833,-19.1,76,0,3.09,US,1675504645
254,tecate,32.5667,-116.6333,12.22,68,7,0.97,MX,1675504645
255,awbari,26.5921,12.7805,17.42,27,98,3.67,LY,1675504646
256,aklavik,68.2191,-135.0107,-38.67,100,61,0.29,CA,1675504647
257,kisangani,0.5167,25.2,36.23,26,82,0.7,CD,1675504647
258,gat,31.61,34.7642,12.66,100,73,7.36,IL,1675504562
259,komatipoort,-25.4332,31.9548,28.92,39,44,3.77,ZA,1675504648
260,kununurra,-15.7667,128.7333,32.99,58,75,7.72,AU,1675504448
261,bad bentheim,52.3167,7.1667,7.94,85,88,2.24,DE,1675504649
262,athens,37.9795,23.7162,12.87,64,20,1.79,GR,1675504650
263,klaksvik,62.2266,-6.589,7.51,91,100,11.0,FO,1675504651
264,muisne,0.6,-80.0333,24.17,89,100,2.51,EC,1675504652
265,port hardy,50.6996,-127.4199,7.1,87,100,9.77,CA,1675504652
266,taoudenni,22.6783,-3.9836,16.13,32,99,7.94,ML,1675504653
267,cayenne,4.9333,-52.3333,24.02,94,75,0.0,GF,1675504516
268,ribeira grande,38.5167,-28.7,16.54,94,75,4.92,PT,1675504654
269,vestmannaeyjar,63.4427,-20.2734,0.55,86,40,16.46,IS,1675504655
270,pisco,-13.7,-76.2167,20.03,100,40,1.03,PE,1675504655
271,ilulissat,69.2167,-51.1,-21.44,97,100,4.15,GL,1675504656
272,otukpo,7.1913,8.1329,33.81,28,61,2.5,NG,1675504401
273,carutapera,-1.195,-46.02,24.4,93,60,2.5,BR,1675504657
274,cockburn town,21.4612,-71.1419,25.32,72,57,6.64,TC,1675504657
275,trabzon,40.9167,39.8333,6.05,49,0,2.57,TR,1675504658
276,ariquemes,-9.9133,-63.0408,22.06,95,100,0.6,BR,1675504658
277,faya,18.3851,42.4509,19.06,44,90,4.87,SA,1675504659
278,tabuk,17.4189,121.4443,23.44,81,98,0.22,PH,1675504659
279,labrea,-7.2586,-64.7981,22.14,98,100,0.82,BR,1675504660
280,foix,42.8333,1.5833,8.06,64,0,1.44,FR,1675504660
281,portree,57.4129,-6.1942,9.18,91,100,10.87,GB,1675504661
282,gombe,10.2897,11.1673,30.53,12,90,6.22,NG,1675504661
283,tonj,7.2737,28.6822,34.36,8,39,3.48,SS,1675504662
284,kulhudhuffushi,6.6221,73.07,26.76,70,98,0.54,MV,1675504663
285,muyezerskiy,63.9333,31.65,-11.9,94,44,1.98,RU,1675504663
286,ola,59.5833,151.2833,-22.73,89,63,3.45,RU,1675504664
287,ambilobe,-13.2,49.05,30.33,64,34,3.22,MG,1675504664
288,vao,-22.6667,167.4833,26.52,87,84,8.37,NC,1675504665
289,yar-sale,66.8333,70.8333,-15.26,98,100,1.88,RU,1675504666
290,tongzi,28.7829,105.0877,17.07,45,5,2.47,CN,1675504666
291,kahta,37.7855,38.6237,-0.35,98,100,5.32,TR,1675504667
292,manokwari,-0.8667,134.0833,26.5,79,94,1.98,ID,1675504667
293,cap malheureux,-19.9842,57.6142,30.26,68,75,4.02,MU,1675504668
294,ercis,39.0287,43.3586,-4.63,54,100,1.07,TR,1675504669
295,norman wells,65.282,-126.8329,-29.98,69,100,0.0,CA,1675504669
296,santiago de cao,-7.9589,-79.2392,20.07,88,20,2.06,PE,1675504670
297,ivanivka,46.7208,34.553,2.75,51,20,2.06,UA,1675504670
298,jalu,29.0331,21.5482,15.59,50,96,3.09,LY,1675504671
299,mount gambier,-37.8333,140.7667,15.18,66,64,3.14,AU,1675504671
300,dalby,-27.1833,151.2667,23.93,26,48,5.25,AU,1675504672
301,byron bay,-28.65,153.6167,24.41,88,77,3.5,AU,1675504593
302,katherine,-14.4667,132.2667,28.18,69,100,0.0,AU,1675504673
303,zhuzhou,27.8333,113.15,5.07,87,100,2.4,CN,1675504673
304,chuguyevka,44.1653,133.8633,-16.78,99,86,0.88,RU,1675504674
305,kanata,45.3159,-75.8985,-29.98,62,0,3.6,CA,1675504674
306,frolovo,49.7713,43.6622,-2.98,94,100,5.28,RU,1675504675
307,krasnyy chikoy,50.3643,108.7512,-14.45,97,89,1.34,RU,1675504675
308,caravelas,-17.7125,-39.2481,25.72,80,18,2.72,BR,1675504676
309,turayf,31.6725,38.6637,11.14,40,40,10.29,SA,1675504676
310,paamiut,61.994,-49.6678,-18.35,90,40,5.73,GL,1675504677
311,salinas,36.6777,-121.6555,10.61,86,40,3.6,US,1675504600
312,wainwright,52.839,-110.8572,-3.99,92,100,0.41,CA,1675503953
313,dargaville,-35.9333,173.8833,19.0,93,96,2.68,NZ,1675504678
314,sitka,57.0531,-135.33,-0.06,86,20,1.54,US,1675504679
315,bria,6.5423,21.9863,36.07,8,50,3.51,CF,1675504679
316,alakurtti,66.9672,30.3491,-15.09,100,100,0.96,RU,1675504680
317,poladpur,17.9802,73.466,35.74,17,95,3.51,IN,1675504680
318,roswell,34.0232,-84.3616,-0.58,73,0,2.06,US,1675504494
319,mount pleasant,32.7941,-79.8626,3.08,58,0,5.14,US,1675504681
320,whitehorse,60.7161,-135.0538,-12.21,81,75,2.57,CA,1675504514
321,ngara,-2.5122,30.6558,24.13,44,59,2.69,TZ,1675504682
322,matara,5.9485,80.5353,27.27,79,52,1.89,LK,1675504683
323,port elizabeth,-33.918,25.5701,32.83,71,0,7.2,ZA,1675504683
324,verkhnevilyuysk,63.4453,120.3167,-31.69,100,100,1.34,RU,1675504684
325,panjab,34.388,67.0233,-2.78,72,8,0.57,AF,1675504684
326,arcachon,44.5875,-1.0519,5.03,87,0,2.06,FR,1675504685
327,yarim,14.298,44.3779,19.95,24,6,2.11,YE,1675504685
328,saint-joseph,-21.3667,55.6167,28.21,81,39,6.08,RE,1675504686
